,Date,Open,High,Close,Adjusted Close,Volume,Dividends
0,2018-05-10,187.74,190.37,190.04,45.2881447936686,27989289.0,0.0
1,2018-05-11,189.49,190.06,188.59,45.1165626833159,26212221.0,0.73
2,2018-05-14,189.01,189.53,188.15,45.0113010703955,20778772.0,0.0
3,2018-05-15,186.78,187.07,186.44,44.6022161656366,23695159.0,0.0
4,2018-05-16,186.07,188.46,188.18,45.0184779985491,19183064.0,0.0
5,2018-05-17,188.0,188.91,186.99,44.7337931817871,17294029.0,0.0
6,2018-05-18,187.19,187.81,186.31,44.5711161436374,18297728.0,0.0
7,2018-05-21,188.0,189.27,187.63,44.8869009823986,18400787.0,0.0
8,2018-05-22,188.38,188.88,187.16,44.7744624413246,15240704.0,0.0
9,2018-05-23,186.35,188.5,188.36,45.0615395674711,20058415.0,0.0
10,2018-05-24,188.77,188.84,188.15,45.0113010703955,23233975.0,0.0
11,2018-05-25,188.23,189.65,188.58,45.1141703739313,17460963.0,0.0
12,2018-05-29,187.6,188.75,187.9,44.9514933357816,22514075.0,0.0
13,2018-05-30,187.72,188.0,187.5,44.8558009603994,18690547.0,0.0
14,2018-05-31,187.22,188.23,186.87,44.7050854691725,27482793.0,0.0
15,2018-06-01,187.99,190.26,190.24,45.5112937317674,23442510.0,0.0
16,2018-06-04,191.64,193.42,191.83,45.8916709239116,26266174.0,0.0
17,2018-06-05,193.07,193.94,193.31,46.2457327128257,21565963.0,0.0
18,2018-06-06,193.63,194.08,193.98,46.4060174415908,20933619.0,0.0
19,2018-06-07,194.14,194.2,193.46,46.281617353594,21347180.0,0.0
20,2018-06-08,191.17,192.0,191.7,45.8605709019124,26656799.0,0.0
21,2018-06-11,191.35,191.97,191.23,45.7481323608383,18308460.0,0.0
22,2018-06-12,191.39,192.61,192.28,45.9993248462165,16911141.0,0.0
23,2018-06-13,192.42,192.88,190.7,45.6213399634569,21638393.0,0.0
24,2018-06-14,191.55,191.57,190.8,45.6452630573025,21610074.0,0.0
25,2018-06-15,190.03,190.16,188.84,45.1763704179297,61719160.0,0.0
26,2018-06-18,187.88,189.22,188.74,45.1524473240842,18484865.0,0.0
27,2018-06-19,185.14,186.33,185.69,44.422792961795,33578455.0,0.0
28,2018-06-20,186.35,187.2,186.5,44.616570021944,20628701.0,0.0
29,2018-06-21,187.25,188.35,185.46,44.3677698459503,25711898.0,0.0
30,2018-06-22,186.12,186.15,184.92,44.2385851391843,27200447.0,0.0
31,2018-06-25,183.4,184.92,182.17,43.5807000584318,31663096.0,0.0
32,2018-06-26,182.99,186.53,184.43,44.1213619793412,24569201.0,0.0
33,2018-06-27,185.23,187.28,184.16,44.0567696259582,25285328.0,0.0
34,2018-06-28,184.1,186.21,185.5,44.3773390834885,17365235.0,0.0
35,2018-06-29,186.29,187.19,185.11,44.2840390174909,22737666.0,0.0
36,2018-07-02,183.82,187.3,187.18,44.7792470600937,17731343.0,0.0
37,2018-07-03,187.79,187.95,183.92,43.9993542007289,13954806.0,0.0
38,2018-07-05,185.26,186.41,185.4,44.3534159896429,16604248.0,0.0
39,2018-07-06,185.42,188.43,187.97,44.9682395014735,17485245.0,0.0
40,2018-07-09,189.5,190.68,190.58,45.5926322508423,19756634.0,0.0
41,2018-07-10,190.71,191.28,190.35,45.5376091349975,15939149.0,0.0
42,2018-07-11,188.5,189.78,187.88,44.9467087170125,18831470.0,0.0
43,2018-07-12,189.53,191.41,191.03,45.7002861731472,18041131.0,0.0
44,2018-07-13,191.08,191.84,191.33,45.7720554546839,12519792.0,0.0
45,2018-07-16,191.52,192.65,190.91,45.6715784605326,15043110.0,0.0
46,2018-07-17,189.75,191.87,191.45,45.8007631672985,15534523.0,0.0
47,2018-07-18,191.78,191.8,190.4,45.5495706819203,16393381.0,0.0
48,2018-07-19,189.69,192.55,191.88,45.9036324708344,20286752.0,0.0
49,2018-07-20,191.78,192.43,191.44,45.7983708579139,20706042.0,0.0
50,2018-07-23,190.68,191.96,191.61,45.8390401174514,15989365.0,0.0
51,2018-07-24,192.45,193.66,193.0,46.1715711219045,18697898.0,0.0
52,2018-07-25,193.06,194.85,194.82,46.6069714298934,16826483.0,0.0
53,2018-07-26,194.61,195.96,194.21,46.4610405574356,19075964.0,0.0
54,2018-07-27,194.99,195.19,190.98,45.6883246262244,24023972.0,0.0
55,2018-07-30,191.9,192.2,189.91,45.4323475220771,21029535.0,0.0
56,2018-07-31,190.3,192.14,190.29,45.5232552786902,39373038.0,0.0
57,2018-08-01,199.13,201.76,201.5,48.2050340987759,67935716.0,0.0
58,2018-08-02,200.58,208.38,207.39,49.6141043262786,62404012.0,0.0
59,2018-08-03,207.03,208.74,207.99,49.7576428893519,33447396.0,0.0
60,2018-08-06,208.0,209.25,209.07,50.0160123028838,25425387.0,0.0
61,2018-08-07,209.32,209.5,207.11,49.5471196635111,25587387.0,0.0
62,2018-08-08,206.05,207.81,207.25,49.5806119948948,22525487.0,0.0
63,2018-08-09,207.28,209.78,208.88,49.9705584245772,23492626.0,0.0
64,2018-08-10,207.36,209.1,207.53,49.8222352427348,24611202.0,0.73
65,2018-08-13,207.7,210.95,208.87,50.1439323237605,25890880.0,0.0
66,2018-08-14,210.16,210.56,209.75,50.355196078464,20748010.0,0.0
67,2018-08-15,209.22,210.74,210.24,50.4728315782421,28807564.0,0.0
68,2018-08-16,211.75,213.81,213.32,51.2122547197041,28500367.0,0.0
69,2018-08-17,213.44,217.95,217.58,52.2349633504276,35426997.0,0.0
70,2018-08-20,218.1,219.18,215.46,51.7260097595511,30287695.0,0.0
71,2018-08-21,216.8,217.19,215.04,51.6251793311699,26159755.0,0.0
72,2018-08-22,214.1,216.36,215.05,51.6275800556552,19018131.0,0.0
73,2018-08-23,214.65,217.05,215.49,51.7332119330069,18883224.0,0.0
74,2018-08-24,216.6,216.9,216.16,51.8940604735198,18476356.0,0.0
75,2018-08-27,217.15,218.74,217.94,52.3213894318972,20525117.0,0.0
76,2018-08-28,219.01,220.54,219.7,52.7439169413041,22776766.0,0.0
77,2018-08-29,220.15,223.49,222.98,53.5313545724715,27254804.0,0.0
78,2018-08-30,223.25,228.26,225.03,54.0235030919511,48793824.0,0.0
79,2018-08-31,226.51,228.87,227.63,54.6476914581204,43340134.0,0.0
80,2018-09-04,228.41,229.18,228.36,54.8229443455449,27390132.0,0.0
81,2018-09-05,228.99,229.67,226.87,54.4652363972402,33332960.0,0.0
82,2018-09-06,226.23,227.35,223.1,53.5601632662947,34289976.0,0.0
83,2018-09-07,221.85,225.37,221.3,53.1280328589468,37619810.0,0.0
84,2018-09-10,220.95,221.85,218.33,52.4150176868226,39516453.0,0.0
85,2018-09-11,218.01,224.3,223.85,53.7402176026897,35749049.0,0.0
86,2018-09-12,224.94,225.0,221.07,53.0728161957856,49278740.0,0.0
87,2018-09-13,223.52,228.35,226.41,54.3548030709179,41706377.0,0.0
88,2018-09-14,225.75,226.84,223.84,53.7378168782044,31999289.0,0.0
89,2018-09-17,222.15,222.95,217.88,52.3069850849856,37195133.0,0.0
90,2018-09-18,217.79,221.85,218.24,52.3934111664552,31571712.0,0.0
91,2018-09-19,218.5,219.62,218.37,52.4246205847637,27123833.0,0.0
92,2018-09-20,220.24,222.28,220.03,52.8231408493179,26608794.0,0.0
93,2018-09-21,220.78,221.36,217.66,52.2541691463098,96246748.0,0.0
94,2018-09-24,216.82,221.26,220.79,53.0055959101982,27693358.0,0.0
95,2018-09-25,219.75,222.82,222.19,53.3416973381355,24554379.0,0.0
96,2018-09-26,221.0,223.75,220.42,52.9167691042433,23984706.0,0.0
97,2018-09-27,223.82,226.44,224.95,54.004297296069,30181227.0,0.0
98,2018-09-28,224.79,225.84,225.74,54.1939545304051,22929364.0,0.0
99,2018-10-01,227.95,229.42,227.26,54.5588646521656,23600802.0,0.0
100,2018-10-02,227.25,230.0,229.28,55.0438109981894,24788170.0,0.0
101,2018-10-03,230.05,233.47,232.07,55.7136131295787,28654799.0,0.0
102,2018-10-04,230.78,232.35,227.99,54.73411753959,32042000.0,0.0
103,2018-10-05,227.96,228.41,224.29,53.8458494800414,33580463.0,0.0
104,2018-10-08,222.21,224.8,223.77,53.7210118068076,29663923.0,0.0
105,2018-10-09,223.64,227.27,226.87,54.4652363972402,26891029.0,0.0
106,2018-10-10,225.46,226.35,216.36,51.9420749632251,41990554.0,0.0
107,2018-10-11,214.52,219.5,214.45,51.4835365865392,53124392.0,0.0
108,2018-10-12,220.42,222.88,222.11,53.3224915422533,40337851.0,0.0
109,2018-10-15,221.16,221.83,217.36,52.1821474117518,30791007.0,0.0
110,2018-10-16,218.93,222.99,222.15,53.3320944401944,29183963.0,0.0
111,2018-10-17,222.3,222.64,221.19,53.1016248896088,22885397.0,0.0
112,2018-10-18,217.86,219.74,216.02,51.8604503307261,32581315.0,0.0
113,2018-10-19,218.06,221.26,219.31,52.6502886863787,33078726.0,0.0
114,2018-10-22,219.79,223.36,220.65,52.9719857674044,28792082.0,0.0
115,2018-10-23,215.83,223.25,222.73,53.4713364603399,38767846.0,0.0
116,2018-10-24,222.6,224.23,215.09,51.6371829535963,40925163.0,0.0
117,2018-10-25,217.71,221.38,219.8,52.7679241861568,29855768.0,0.0
118,2018-10-26,215.9,220.19,216.3,51.9276706163135,47258375.0,0.0
119,2018-10-29,219.19,219.69,212.24,50.9529764752953,45935520.0,0.0
120,2018-10-30,211.15,215.18,213.3,51.2074532707336,36659990.0,0.0
121,2018-10-31,216.88,220.45,218.86,52.5422560845417,38358933.0,0.0
122,2018-11-01,219.05,222.36,222.22,53.3488995115913,58323180.0,0.0
123,2018-11-02,209.55,213.65,207.48,49.8102316203085,91328654.0,0.0
124,2018-11-05,204.3,204.39,201.59,48.3962048984866,66163669.0,0.0
125,2018-11-06,201.92,204.72,203.77,48.9195628362747,31882881.0,0.0
126,2018-11-07,205.97,210.06,209.95,50.4032105681693,33424434.0,0.0
127,2018-11-08,209.98,210.12,208.49,50.2279576807449,25362636.0,0.73
128,2018-11-09,205.55,206.01,204.47,49.2594872990642,34365750.0,0.0
129,2018-11-12,199.0,199.85,194.17,46.7780830872955,51135518.0,0.0
130,2018-11-13,191.63,197.18,192.23,46.310711808574,46882936.0,0.0
131,2018-11-14,193.9,194.48,186.8,45.0025540542143,60800957.0,0.0
132,2018-11-15,188.39,191.97,191.41,46.1131631237535,46478801.0,0.0
133,2018-11-16,190.5,194.97,193.53,46.6238987479234,36928253.0,0.0
134,2018-11-19,190.0,190.7,185.86,44.7760958057616,41920872.0,0.0
135,2018-11-20,178.37,181.47,176.98,42.6367880969746,67825247.0,0.0
136,2018-11-21,179.73,180.27,176.78,42.5886054909208,31124210.0,0.0
137,2018-11-23,174.94,176.595,172.29,41.5069059850138,23623972.0,0.0
138,2018-11-26,174.24,174.95,174.62,42.0682333455402,44998520.0,0.0
139,2018-11-27,171.51,174.77,174.24,41.976686394038,41387377.0,0.0
140,2018-11-28,176.73,181.29,180.94,43.5908036968391,46062539.0,0.0
141,2018-11-29,182.66,182.8,179.55,43.2559345847654,41769992.0,0.0
142,2018-11-30,180.29,180.33,178.58,43.0222489454047,39531549.0,0.0
143,2018-12-03,184.46,184.94,184.82,44.5255462542821,40798002.0,0.0
144,2018-12-04,180.95,182.39,176.69,42.5669233181966,41344282.0,0.0
145,2018-12-06,171.76,174.78,174.72,42.092324648567,43098410.0,0.0
146,2018-12-07,173.49,174.49,168.49,40.5914364699923,42281631.0,0.0
147,2018-12-10,165.0,170.09,169.6,40.8588499335907,62025994.0,0.0
148,2018-12-11,171.66,171.79,168.63,40.62516429423,47281665.0,0.0
149,2018-12-12,170.4,171.92,169.1,40.7383934184563,35627674.0,0.0
150,2018-12-13,170.49,172.57,170.95,41.1840825244536,31897827.0,0.0
151,2018-12-14,169.0,169.08,165.48,39.8662882488832,40703710.0,0.0
152,2018-12-17,165.45,168.35,163.94,39.4952821822692,44287922.0,0.0
153,2018-12-18,165.38,167.53,166.07,40.0084269367418,33841518.0,0.0
154,2018-12-19,166.0,167.45,160.89,38.7604974399494,49047297.0,0.0
155,2018-12-20,160.4,162.11,156.83,37.782390537058,64772960.0,0.0
156,2018-12-21,156.86,158.16,150.73,36.3128210524182,95744384.0,0.0
157,2018-12-24,148.15,151.55,146.83,35.3732602343698,37169232.0,0.0
158,2018-12-26,148.3,157.23,157.17,37.8643009673494,58582544.0,0.0
159,2018-12-27,155.84,156.77,156.15,37.6185696764752,53117065.0,0.0
160,2018-12-28,157.5,158.52,156.23,37.6378427188967,42291424.0,0.0
161,2018-12-31,158.53,159.36,157.74,38.0016213946026,35003466.0,0.0
162,2019-01-02,154.89,158.85,157.92,38.044985740051,37039737.0,0.0
163,2019-01-03,143.98,145.72,142.19,34.2554237739226,91312195.0,0.0
164,2019-01-04,144.53,148.55,148.26,35.7177658676542,58607070.0,0.0
165,2019-01-07,148.7,148.83,147.93,35.6382645676655,54777764.0,0.0
166,2019-01-08,149.56,151.82,150.75,36.3176393130236,41025314.0,0.0
167,2019-01-09,151.29,154.53,153.31,36.9343766705118,45099081.0,0.0
168,2019-01-10,152.5,153.97,153.8,37.0524240553435,35780670.0,0.0
169,2019-01-11,152.88,153.7,152.29,36.6886453796376,27023241.0,0.0
170,2019-01-14,150.85,151.27,150.0,36.136954540322,32439186.0,0.0
171,2019-01-15,150.27,153.39,153.07,36.8765575432472,28710324.0,0.0
172,2019-01-16,153.08,155.88,154.94,37.3270649098499,30569706.0,0.0
173,2019-01-17,154.2,157.66,155.86,37.5487048976972,29821160.0,0.0
174,2019-01-18,157.5,157.88,156.82,37.7799814067553,33751023.0,0.0
175,2019-01-22,156.41,156.73,153.3,36.9319675402091,30393970.0,0.0
176,2019-01-23,154.15,155.14,153.92,37.0813336189757,23130570.0,0.0
177,2019-01-24,154.11,154.48,152.7,36.7874197220478,25441549.0,0.0
178,2019-01-25,155.48,158.13,157.76,38.006439655208,33547893.0,0.0
179,2019-01-28,155.79,156.33,156.3,37.6547066310155,26192058.0,0.0
180,2019-01-29,156.25,158.13,154.68,37.26442752198,41587239.0,0.0
181,2019-01-30,163.25,166.15,165.25,39.8108782519214,61109780.0,0.0
182,2019-01-31,166.11,169.0,166.44,40.0975647579413,40739649.0,0.0
183,2019-02-01,166.96,168.98,166.52,40.1168378003628,32668138.0,0.0
184,2019-02-04,167.41,171.66,171.25,41.2563564335343,31495582.0,0.0
185,2019-02-05,172.86,175.08,174.18,41.9622316122219,36101628.0,0.0
186,2019-02-06,174.65,175.57,174.24,41.976686394038,28239591.0,0.0
187,2019-02-07,172.4,173.94,170.94,41.1816733941509,31741690.0,0.0
188,2019-02-08,168.99,170.66,170.41,41.2298560002047,23819966.0,0.73
189,2019-02-11,171.05,171.21,169.43,40.9927498510339,20993425.0,0.0
190,2019-02-12,170.1,171.0,170.89,41.3459896242884,22283523.0,0.0
191,2019-02-13,171.39,172.48,170.18,41.1742086386646,22490233.0,0.0
192,2019-02-14,169.71,171.26,170.8,41.3242145697727,21835747.0,0.0
193,2019-02-15,171.25,171.7,170.42,41.2322754507064,24626814.0,0.0
194,2019-02-19,169.71,171.44,170.93,41.3556674262953,18972826.0,0.0
195,2019-02-20,171.19,173.32,172.03,41.6218069814871,26114362.0,0.0
196,2019-02-21,171.8,172.37,171.06,41.387120282818,17249670.0,0.0
197,2019-02-22,171.58,173.0,172.97,41.8492353286509,18913154.0,0.0
198,2019-02-25,174.16,175.87,174.23,42.1540860918706,21873358.0,0.0
199,2019-02-26,173.71,175.3,174.33,42.178280596888,17070211.0,0.0
200,2019-02-27,173.21,175.0,174.87,42.3089309239821,27835389.0,0.0
