,Date,Net Income
0,2023-03-31,24160000000.0
1,2022-12-31,29998000000.0
2,2022-09-30,20721000000.0
3,2022-06-30,19442000000.0
4,2022-03-31,25010000000.0
5,2021-12-31,34630000000.0
6,2021-09-30,20551000000.0
7,2021-06-30,21744000000.0
8,2021-03-31,23630000000.0
9,2020-12-31,28755000000.0
10,2020-09-30,12673000000.0
11,2020-06-30,11253000000.0
12,2020-03-31,11249000000.0
13,2019-12-31,22236000000.0
14,2019-09-30,13686000000.0
15,2019-06-30,10044000000.0
16,2019-03-31,11561000000.0
17,2018-12-31,19965000000.0
18,2018-09-30,14125000000.0
19,2018-06-30,11519000000.0
