,Date,Net Income
0,2023-03-31,15051000000
1,2022-12-31,13624000000
2,2022-09-30,13910000000
3,2022-06-30,16002000000
4,2022-03-31,16436000000
5,2021-12-31,20642000000
6,2021-09-30,18936000000
7,2021-06-30,18525000000
8,2021-03-31,17930000000
9,2020-12-31,15227000000
10,2020-09-30,11247000000
11,2020-06-30,6959000000
12,2020-03-31,6836000000
13,2019-12-31,10671000000
14,2019-09-30,7068000000
15,2019-06-30,9947000000
16,2019-03-31,6657000000
17,2018-12-31,8948000000
18,2018-09-30,9192000000
19,2018-06-30,3195000000
