,Date,Adjusted Close
0,2023-05-09,107.94
1,2023-05-08,108.24
2,2023-05-05,106.215
3,2023-05-04,105.21
4,2023-05-03,106.12
5,2023-05-02,105.98
6,2023-05-01,107.71
7,2023-04-28,108.22
8,2023-04-27,108.37
9,2023-04-26,104.45
10,2023-04-25,104.61
11,2023-04-24,106.78
12,2023-04-21,105.91
13,2023-04-20,105.9
14,2023-04-19,105.02
15,2023-04-18,105.12
16,2023-04-17,106.42
17,2023-04-14,109.46
18,2023-04-13,108.19
19,2023-04-12,105.22
20,2023-04-11,106.12
21,2023-04-10,106.95
22,2023-04-06,108.9
23,2023-04-05,104.95
24,2023-04-04,105.12
25,2023-04-03,104.91
26,2023-03-31,104.0
27,2023-03-30,101.32
28,2023-03-29,101.9
29,2023-03-28,101.36
30,2023-03-27,103.06
31,2023-03-24,106.06
32,2023-03-23,106.26
33,2023-03-22,104.22
34,2023-03-21,105.84
35,2023-03-20,101.93
36,2023-03-17,102.46
37,2023-03-16,101.07
38,2023-03-15,96.55
39,2023-03-14,94.25
40,2023-03-13,91.66
41,2023-03-10,91.01
42,2023-03-09,92.66
43,2023-03-08,94.65
44,2023-03-07,94.17
45,2023-03-06,95.58
46,2023-03-03,94.02
47,2023-03-02,92.31
48,2023-03-01,90.51
49,2023-02-28,90.3
50,2023-02-27,90.1
51,2023-02-24,89.35
52,2023-02-23,91.07
53,2023-02-22,91.8
54,2023-02-21,92.05
55,2023-02-17,94.59
56,2023-02-16,95.78
57,2023-02-15,97.1
58,2023-02-14,94.95
59,2023-02-13,95.0
60,2023-02-10,94.86
61,2023-02-09,95.46
62,2023-02-08,100.0
63,2023-02-07,108.04
64,2023-02-06,103.47
65,2023-02-03,105.22
66,2023-02-02,108.8
67,2023-02-01,101.43
68,2023-01-31,99.87
69,2023-01-30,97.95
70,2023-01-27,100.71
71,2023-01-26,99.16
72,2023-01-25,96.73
73,2023-01-24,99.21
74,2023-01-23,101.21
75,2023-01-20,99.28
76,2023-01-19,93.91
77,2023-01-18,91.78
78,2023-01-17,92.16
79,2023-01-13,92.8
80,2023-01-12,91.91
81,2023-01-11,92.26
82,2023-01-10,89.24
83,2023-01-09,88.8
84,2023-01-06,88.16
85,2023-01-05,86.77
86,2023-01-04,88.71
87,2023-01-03,89.7
88,2022-12-30,88.73
89,2022-12-29,88.95
90,2022-12-28,86.46
91,2022-12-27,87.93
92,2022-12-23,89.81
93,2022-12-22,88.26
94,2022-12-21,90.25
95,2022-12-20,89.63
96,2022-12-19,89.15
97,2022-12-16,90.86
98,2022-12-15,91.2
99,2022-12-14,95.31
100,2022-12-13,95.85
101,2022-12-12,93.56
102,2022-12-09,93.07
103,2022-12-08,93.95
104,2022-12-07,95.15
105,2022-12-06,97.31
106,2022-12-05,99.87
107,2022-12-02,100.83
108,2022-12-01,101.28
109,2022-11-30,101.45
110,2022-11-29,95.44
111,2022-11-28,96.25
112,2022-11-25,97.6
113,2022-11-23,98.82
114,2022-11-22,97.33
115,2022-11-21,95.83
116,2022-11-18,97.8
117,2022-11-17,98.5
118,2022-11-16,98.99
119,2022-11-15,98.72
120,2022-11-14,96.03
121,2022-11-11,96.73
122,2022-11-10,94.17
123,2022-11-09,87.4
124,2022-11-08,88.91
125,2022-11-07,88.65
126,2022-11-04,86.7
127,2022-11-03,83.49
128,2022-11-02,87.07
129,2022-11-01,90.5
130,2022-10-31,94.66
131,2022-10-28,96.58
132,2022-10-27,92.6
133,2022-10-26,94.82
134,2022-10-25,104.93
135,2022-10-24,102.97
136,2022-10-21,101.48
137,2022-10-20,100.53
138,2022-10-19,100.29
139,2022-10-18,101.39
140,2022-10-17,100.78
141,2022-10-14,97.18
142,2022-10-13,99.71
143,2022-10-12,98.3
144,2022-10-11,98.05
145,2022-10-10,98.71
146,2022-10-07,99.57
147,2022-10-06,102.24
148,2022-10-05,102.22
149,2022-10-04,102.41
150,2022-10-03,99.3
