,Date,Net Income
0,2023-03-31,15051000000.0
1,2022-12-31,13624000000.0
2,2022-09-30,13910000000.0
3,2022-06-30,16002000000.0
4,2022-03-31,16436000000.0
5,2021-12-31,20642000000.0
6,2021-09-30,18936000000.0
7,2021-06-30,18525000000.0
8,2021-03-31,17930000000.0
9,2020-12-31,15227000000.0
10,2020-09-30,11247000000.0
11,2020-06-30,6959000000.0
12,2020-03-31,6836000000.0
13,2019-12-31,10671000000.0
14,2019-09-30,7068000000.0
15,2019-06-30,9947000000.0
16,2019-03-31,6657000000.0
17,2018-12-31,8948000000.0
18,2018-09-30,9192000000.0
19,2018-06-30,3195000000.0
