,Date,Adjusted Close
1256,2018-05-11,100.426977258663
1255,2018-05-14,99.5095397068861
1254,2018-05-15,100.065562465539
1253,2018-05-16,99.4354033390657
1252,2018-05-17,98.4623635114234
1251,2018-05-18,98.6106362470641
1250,2018-05-21,100.436244304641
1249,2018-05-22,101.298079580552
1248,2018-05-23,102.715937615117
1247,2018-05-24,102.734471707072
1246,2018-05-25,102.465727373723
1245,2018-05-29,101.640960281722
1244,2018-05-30,101.446352316193
1243,2018-05-31,99.4724715229759
1242,2018-06-01,101.112738661001
1241,2018-06-04,101.854102339205
1240,2018-06-05,104.105994511749
1239,2018-06-06,105.255108212964
1238,2018-06-07,103.994789960018
1237,2018-06-08,104.068926327839
1236,2018-06-11,104.263534293367
1235,2018-06-12,104.977096833638
1234,2018-06-13,105.301443442852
1233,2018-06-14,106.033540075078
1232,2018-06-15,106.610720012274
1231,2018-06-18,107.523036687195
1230,2018-06-19,107.802317301967
1229,2018-06-20,107.960576317005
1228,2018-06-21,108.965986530184
1227,2018-06-22,109.580403882682
1226,2018-06-25,108.03505114761
1225,2018-06-26,107.504417979544
1224,2018-06-27,107.439252502764
1223,2018-06-28,109.021842653138
1222,2018-06-29,108.332950470034
1221,2018-07-02,108.463281423594
1220,2018-07-03,107.895410840225
1219,2018-07-05,109.36628874469
1218,2018-07-06,110.232058650483
1217,2018-07-09,110.1296557584
1216,2018-07-10,110.446173788475
1215,2018-07-11,112.010145231198
1214,2018-07-12,112.429066153356
1213,2018-07-13,112.429066153356
1212,2018-07-16,112.969008675248
1211,2018-07-17,113.993037596078
1210,2018-07-18,114.681929779183
1209,2018-07-19,113.741685042784
1208,2018-07-20,113.276217351497
1207,2018-07-23,113.592735381572
1206,2018-07-24,113.080720921157
1205,2018-07-25,115.482534208195
1204,2018-07-26,116.506563129026
1203,2018-07-27,114.923972978652
1202,2018-07-30,112.159094892409
1201,2018-07-31,112.922461906119
1200,2018-08-01,112.55008775309
1199,2018-08-02,113.127267690285
1198,2018-08-03,109.543166467379
1197,2018-08-06,110.986116310367
1196,2018-08-07,112.643181291347
1195,2018-08-08,111.544677539911
1194,2018-08-09,113.062102213505
1193,2018-08-10,112.652490645173
1192,2018-08-13,112.969008675248
1191,2018-08-14,112.643181291347
1190,2018-08-15,111.972907815895
1189,2018-08-16,112.931771259945
1188,2018-08-17,114.495742702668
1187,2018-08-20,116.357613467814
1186,2018-08-21,115.892145776528
1185,2018-08-22,115.817670945922
1184,2018-08-23,116.450707006071
1183,2018-08-24,117.902966202886
1182,2018-08-27,118.461527432429
1181,2018-08-28,119.001469954322
1180,2018-08-29,119.830002444812
1179,2018-08-30,118.731498693376
1178,2018-08-31,119.494865707086
1177,2018-09-04,119.317987984397
1176,2018-09-05,118.619786447467
1175,2018-09-06,118.796664170156
1174,2018-09-07,118.033297156446
1173,2018-09-10,118.349815186521
1172,2018-09-11,118.638405155118
1171,2018-09-12,117.288548850387
1170,2018-09-13,117.912275556711
1169,2018-09-14,118.491834862603
1168,2018-09-17,118.239446132618
1167,2018-09-18,118.3516189015
1166,2018-09-19,116.407290907541
1165,2018-09-20,117.86553690301
1164,2018-09-21,120.034210434734
1163,2018-09-24,120.548335625444
1162,2018-09-25,121.445717776502
1161,2018-09-26,120.34268554916
1160,2018-09-27,120.146383203616
1159,2018-09-28,121.651367852786
1158,2018-10-01,119.828560358449
1157,2018-10-02,118.594659900745
1156,2018-10-03,118.519878054823
1155,2018-10-04,117.725320941908
1154,2018-10-05,117.398150366001
1153,2018-10-08,115.444474641302
1152,2018-10-09,116.33250906162
1151,2018-10-10,112.808414572569
1150,2018-10-11,110.247136349758
1149,2018-10-12,112.397114420001
1148,2018-10-15,112.182116612977
1147,2018-10-16,115.687515640547
1146,2018-10-17,115.500561025743
1145,2018-10-18,115.771645217209
1144,2018-10-19,115.313606410939
1143,2018-10-22,114.995783565773
1142,2018-10-23,114.31339922174
1141,2018-10-24,111.780164191149
1140,2018-10-25,113.687101262147
1139,2018-10-26,111.873641498551
1138,2018-10-29,109.424536044622
1137,2018-10-30,111.462341345983
1136,2018-10-31,114.565787951725
1135,2018-11-01,115.706211102027
1134,2018-11-02,120.436162856562
1133,2018-11-05,115.939904370532
1132,2018-11-06,117.678582288207
1131,2018-11-07,120.277251433978
1130,2018-11-08,121.137242662076
1129,2018-11-09,121.193329046517
1128,2018-11-12,118.706832669627
1127,2018-11-13,118.622703092965
1126,2018-11-14,120.33333781842
1125,2018-11-15,120.950288047272
1124,2018-11-16,121.539195083904
1123,2018-11-19,118.052491517814
1122,2018-11-20,115.509908756483
1121,2018-11-21,116.014686216453
1120,2018-11-23,116.239031754218
1119,2018-11-26,119.062046437754
1118,2018-11-27,120.86615847061
1117,2018-11-28,123.455479885642
1116,2018-11-29,123.932214153391
1115,2018-11-30,122.688965964947
1114,2018-12-03,125.063289572954
1113,2018-12-04,121.595281468345
1112,2018-12-06,121.296154084659
1111,2018-12-07,119.211610129597
1110,2018-12-10,121.146590392816
1109,2018-12-11,121.015722162453
1108,2018-12-12,121.754192890928
1107,2018-12-13,121.165285854296
1106,2018-12-14,118.911921375022
1105,2018-12-17,115.71026601072
1104,2018-12-18,114.442748491129
1103,2018-12-19,111.776267190654
1102,2018-12-20,108.443165565062
1101,2018-12-21,104.903505528869
1100,2018-12-24,102.312136377704
