,Date,Net Income
0,2023-03-31,278000000.0
1,2022-12-31,589000000.0
2,2022-09-30,279000000.0
3,2022-06-30,228000000.0
4,2022-03-31,267000000.0
5,2021-12-31,401000000.0
6,2021-09-30,307000000.0
7,2021-06-30,293000000.0
8,2021-03-31,244000000.0
9,2020-12-31,412000000.0
10,2020-09-30,205000000.0
11,2020-06-30,135000000.0
12,2020-03-31,197000000.0
13,2019-12-31,244000000.0
14,2019-09-30,267000000.0
15,2019-06-30,207000000.0
16,2019-03-31,151000000.0
17,2018-12-31,423000000.0
18,2018-09-30,247000000.0
19,2018-06-30,180000000.0
